/fields=id,latitude,longitude,date_time,cruise,seawifs_filename,seawifs_es_error,seawifs_pixel_total,seawifs_tdiff,seawifs_solz,seawifs_senz,seawifs_cv,seawifs_windspeed,seawifs_rrs412,seawifs_rrs443,seawifs_rrs490,seawifs_rrs510,seawifs_rrs555,seawifs_rrs670,insitu_rrs_type,insitu_rrs412,insitu_rrs443,insitu_rrs490,insitu_rrs510,insitu_rrs555,insitu_rrs670
/end_header
216456,-61.66050000,-62.93167000,1998-01-15 16:29:00,palmer_lter,S1998015134007.L2_MLAC.R0000021212_61S_61S_63W_62W.hdf_OCVAL_palmer_lter_216456_B5.tar,0.00000000,25,-8238,46.30,53.07,0.017,7.436,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
17359,-61.59900000,-62.59800000,2000-02-22 13:30:00,amlr2000,S2000053135537.L2_MLAC.R0000020335_61S_61S_62W_62W.hdf_OCVAL_amlr2000_17359_B5.tar,0.00000000,25,3593,55.34,41.66,0.065,2.505,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
4406,-61.59900000,-62.59800000,2000-02-22 13:30:00,amlr2000,S2000053135537.L2_MLAC.R0000020335_61S_61S_62W_62W.hdf_OCVAL_amlr2000_4406_B5.tar,21.90000000,25,3593,55.34,41.66,0.065,2.505,0.00956800,0.00878500,0.00631500,0.00351900,0.00122200,-0.00003100,rrs,0.01276327,0.01079825,0.00999949,0.00669354,0.00331189,0.00015749
17362,-61.50286000,-62.00967000,2000-02-23 18:00:00,amlr2000,S2000054143936.L2_MLAC.R0000020335_61S_62S_62W_61W.hdf_OCVAL_amlr2000_17362_B5.tar,0.00000000,25,-9992,53.07,22.79,0.013,0.770,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
4408,-61.50000000,-62.00000000,2000-02-23 14:25:00,amlr2000,S2000054143936.L2_MLAC.R0000020335_61S_62S_62W_61W.hdf_OCVAL_amlr2000_4408_B5.tar,22.60000000,25,2907,53.06,22.79,0.013,0.765,0.01039100,0.00934000,0.00652300,0.00359300,0.00136700,0.00008400,rrs,0.01380637,0.01229768,0.00916590,0.00528334,0.00213157,0.00016249
4573,-61.49933000,-56.49360000,2001-02-19 16:11:00,amlr2001,S2001050135427.L2_MLAC.R0000020336_60S_61S_56W_56W.hdf_OCVAL_amlr2001_4573_B5.tar,0.00000000,25,-6046,52.96,27.21,0.070,3.470,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
4065,-61.49800000,-57.99500000,1998-02-08 17:04:00,amlr1998,S1998039150552.L2_MLAC.R0000020333_61S_61S_58W_57W.hdf_OCVAL_amlr1998_4065_B5.tar,0.00000000,25,-5161,46.85,44.83,0.040,6.199,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
216455,-61.38467000,-63.13600000,1998-01-15 14:30:00,palmer_lter,S1998015134007.L2_MLAC.R0000021212_61S_61S_63W_62W.hdf_OCVAL_palmer_lter_216455_B5.tar,0.00000000,25,-1101,46.17,53.95,0.027,7.495,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
4444,-61.29000000,-56.29000000,2001-02-19 16:10:00,amlr2001,S2001050135427.L2_MLAC.R0000020336_60S_61S_56W_56W.hdf_OCVAL_amlr2001_4444_B5.tar,2.10000000,25,-5990,52.73,27.15,0.062,3.656,0.00421000,0.00378100,0.00348600,0.00268500,0.00160600,-999,rrs,0.00410903,0.00400649,0.00397464,0.00309767,0.00150931,-999
211300,-61.28580000,-53.90530000,2004-03-01 17:05:00,amlr2004_leg2,S2004061140355.L2_MLAC.R0000020339_61S_61S_53W_53W.hdf_OCVAL_amlr2004_leg2_211300_B5.tar,26.05000000,25,-8672,55.42,25.10,0.127,5.704,0.00326000,0.00368600,0.00343300,0.00239400,0.00114000,-999,rrs,0.00573692,0.00534213,0.00487373,0.00374098,0.00167853,-999
